"iter","steps","eps","reward","win_rate","wez_ep","entropy","vf_loss","kl"
"0","16384","49","-147.8424","0","2.8","5.6878","2.1138","0.0031"
"1","32768","99","-147.6791","0","2.6","5.6754","2.1846","0.0041"
"2","49152","151","-147.7394","0","3","5.7062","2.1548","0.0033"
"3","65536","197","-147.7226","0","2.9","5.6985","2.016","0.0029"
"4","81920","241","-144.1046","0","2.9","5.6926","1.8162","0.0031"
"5","98304","283","-147.7211","0","2.7","5.6815","2.1264","0.0032"
"6","114688","327","-147.9748","0","2.7","5.6713","2.2945","0.0033"
"7","131072","368","-147.4726","0","3.7","5.6416","2.0748","0.0044"
"8","147456","409","-147.8661","0","2.6","5.5688","2.4875","0.0038"
"9","163840","451","-147.3076","0","3.8","5.5485","2.5677","0.0039"
"10","180224","491","-147.7505","0","3.1","5.4962","2.6108","0.004"
"11","196608","530","-147.8177","0","2.9","5.5343","2.8564","0.0047"
"12","212992","567","-147.506","0","3.4","5.4769","2.5267","0.0048"
"13","229376","603","-143.6614","0","3.1","5.3814","2.6739","0.0036"
"14","245760","632","-126.7865","0","2.7","5.4402","2.3313","0.0043"
"15","262144","664","-142.6371","0","3.1","5.2415","2.4345","0.0057"
"16","278528","692","-122.5998","0","3.7","5.2275","2.7264","0.0045"
"17","294912","719","-142.812","0","2.6","5.2399","2.5799","0.0037"
"18","311296","745","-120.3338","0","3.2","5.374","2.6691","0.0052"
"19","327680","771","-97.5872","0","3.3","5.2669","2.2888","0.0049"
"20","344064","794","-129.1287","0","3.2","5.1675","1.9399","0.005"
"21","360448","819","-107.2852","0","3","4.7332","1.5708","0.0062"
"22","376832","841","-93.2157","0","2.8","4.9712","1.4886","0.0052"
"23","393216","865","-103.343","0","2.7","4.8972","1.4153","0.0046"
"24","409600","888","-124.5417","0","2.6","5.1576","1.2896","0.0048"
"25","425984","913","-106.6733","0","2.7","5.0879","1.0974","0.0042"
"26","442368","939","-112.4734","0","3","5.001","1.567","0.0062"
"27","458752","965","-124.5473","0","3.9","5.0904","1.3956","0.0037"
"28","475136","990","-101.2953","0","3.1","4.9223","1.17","0.0051"
"29","491520","1014","-109.3254","0","2.5","5.0642","0.962","0.0044"
"30","507904","1038","-104.9128","0","3.1","4.9047","1.0358","0.0066"
"31","524288","1062","-93.5515","0","3","4.7872","1.0138","0.0065"
"32","540672","1087","-117.784","0","3.2","4.9837","1.2631","0.004"
"33","557056","1109","-106.8159","0","2.7","4.6161","1.2115","0.0065"
"34","573440","1134","-112.5905","0","2.8","4.7494","1.3893","0.0048"
"35","589824","1153","-91.5656","0","4","4.8271","0.92","0.0066"
"36","606208","1175","-92.2194","0","3","4.4154","0.901","0.0048"
"37","622592","1197","-93.9456","0","3.5","4.4343","1.0032","0.006"
"38","638976","1218","-57.076","0","3.1","4.0663","0.7712","0.0077"
"39","655360","1239","-86.1919","0","2.7","4.1453","1.0712","0.0052"
"40","671744","1260","-69.7881","0","3.8","4.8856","1.0907","0.0054"
"41","688128","1279","-46.0119","0","3.4","3.8342","0.5551","0.0074"
"42","704512","1299","-53.4258","0","3","3.8738","0.7224","0.0057"
"43","720896","1319","-52.9681","0","3.8","4.2362","0.6551","0.0044"
"44","737280","1339","-45.6214","0","3.9","3.8601","0.3772","0.0071"
"45","753664","1357","-25.7128","0","3.2","3.2705","0.351","0.0075"
"46","770048","1375","-16.3873","0","4.1","3.6661","0.2246","0.0059"
"47","786432","1394","-9.4051","0","3.7","3.3876","0.2193","0.0044"
"48","802816","1412","-2.9099","0","2.8","2.7823","0.0801","0.0038"
"49","819200","1430","-11.2391","0","3.5","2.5638","0.1248","0.0061"
"50","835584","1449","-7.7532","0","4.1","2.5833","0.0776","0.0055"
"51","851968","1468","-9.6172","0","3","2.3296","0.1623","0.0098"
"52","868352","1486","-2.2301","0","3.3","2.3955","0.0488","0.0037"
"53","884736","1504","-1.475","0","4.6","2.3233","0.0489","0.0033"
"54","901120","1522","-1.074","0","5.2","2.1994","0.0374","0.0048"
"55","917504","1540","-1.3302","0","5.2","1.7573","0.0447","0.0032"
"56","933888","1559","-0.8179","0","4.9","2.2823","0.0626","0.0038"
"57","950272","1576","-1.3033","0","5.2","2.3471","0.0924","0.0034"
"58","966656","1595","-0.7337","0","5.1","1.8077","0.0463","0.0035"
"59","983040","1613","-0.5781","0","4.5","2.2505","0.0445","0.0038"
"60","999424","1632","-1.123","0","3.6","2.6359","0.0392","0.0025"
"61","1015808","1650","-0.6759","0","3.7","2.8401","0.0843","0.0033"
"62","1032192","1668","0.4766","0","5.1","3.0411","0.0492","0.0029"
"63","1048576","1686","1.9662","0","6.9","3.339","0.1197","0.0028"
"64","1064960","1704","0.0988","0","4.1","2.9102","0.0545","0.0029"
